source,slug,subtopico,lote,issue_codes
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002845055-4","Urgências e Emergências","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002845055-5","Urgências e Emergências","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002845055-6","Noções de Anatomia","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002845055-7","Noções de Anatomia","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002845055-8","Verificação de Sinais Vitais","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002845055-9","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002934000-0","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780002934000-1","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003031246-6","Verificação de Sinais Vitais","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003031246-7","Processamento de Artigos e Produtos de Saúde","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003031246-8","Processo de Enfermagem","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003137298-0","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003137298-1","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003137298-2","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003137298-3","Noções de Fisiologia","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003137298-4","Segurança do Paciente","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003137298-5","Coleta de Exames Laboratoriais","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003137298-6","Urgências e Emergências","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003137298-8","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003137298-9","Assistência Perioperatória (Inclui SRPA)","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003261833-0","Verificação de Sinais Vitais","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003261833-1","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003261833-2","Outras Questões e Questões Mescladas sobre Doenças Crônicas Não Transmissíveis","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003709908-1","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003709908-3","Urgências e Emergências","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003709908-5","Oxigenoterapia e Cuidados Respiratórios","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003709908-6","Processo de Enfermagem","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003709908-7","Verificação de Sinais Vitais","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003709908-8","Processo de Enfermagem","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003709908-9","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003793968-1","Cálculo de Administração de Medicamentos e Infusões","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003793968-2","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003793968-3","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003793968-4","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003793968-5","Promoção à Saúde e Prevenção de Agravos","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003793968-7","Cálculo de Administração de Medicamentos e Infusões","","stub_markers"
"supabase","avancasp-enfermagem-processo-de-enfermagem-1780003793968-8","Mobilização e Posicionamento do Paciente","","stub_markers"
